iter,genotype,score,loss
4,804041,0.3936,1.7097914083480834
4,134616,0.3926,1.71502416305542
4,318695,0.3915,1.694687914276123
4,318695,0.3915,1.694687914276123
4,888047,0.386,1.7006436141967773
4,659944,0.386,1.702875496864319
4,134354,0.3843,1.749918274116516
4,134354,0.3843,1.749918274116516
4,134354,0.3843,1.749918274116516
4,335843,0.3752,1.7418765403747558
4,995470,0.3747,1.7749741521835327
4,967846,0.3744,1.758033916091919
4,967846,0.3744,1.758033916091919
4,265432,0.3742,1.7359396348953247
4,281816,0.3742,1.7359396348953247
4,904162,0.3738,1.726848462677002
4,726163,0.3691,1.7653363359451293
4,602467,0.368,1.7545674699783325
4,602467,0.368,1.7545674699783325
4,368327,0.367,1.7627187122344972
4,969830,0.3656,1.7620662242889404
4,871525,0.3654,1.7547717805862426
4,414789,0.3635,1.7601588705062867
4,299186,0.363,1.768451689529419
4,788809,0.3629,1.7432131938934325
4,124644,0.3616,1.770705403137207
4,124644,0.3616,1.770705403137207
4,476327,0.3597,1.7604409147262574
4,941029,0.3583,1.7530071605682374
4,941029,0.3583,1.7530071605682374
4,705895,0.3569,1.807234140396118
4,313415,0.3565,1.8282524583816528
4,1020485,0.3558,1.774478373527527
4,1005765,0.3555,1.7934928470611573
4,279749,0.3547,1.813370541381836
4,143559,0.3543,1.8130706420898437
4,658122,0.3525,1.7844697982788087
4,919006,0.3499,1.8209730382919311
4,873559,0.3466,1.7721220378875733
4,722583,0.3449,1.7905909690856934
4,690866,0.3439,1.8322706569671632
4,920024,0.3424,1.8501301250457765
4,1001670,0.3406,1.8008415283203125
4,367759,0.3319,1.885990608215332
4,951754,0.3311,1.8787940845489501
4,361715,0.3286,1.8646761943817138
4,93543,0.3277,1.898253741836548
4,429095,0.3267,1.890369499206543
4,554152,0.3223,1.9474487957000732
4,745509,0.3218,1.839269825744629
4,87131,0.32,1.9247628398895265
4,367798,0.3171,1.9077591247558594
4,322787,0.3154,1.9424933525085448
4,865318,0.3138,1.8615076965332031
4,886341,0.3092,1.947718793106079
4,171139,0.3083,1.915096397781372
4,253158,0.3048,1.9332441635131836
4,213986,0.3035,1.8954303215026855
4,1045668,0.3027,1.9464176250457763
4,951970,0.296,1.974560570526123
4,185793,0.2896,2.0408556526184083
4,599094,0.2886,1.9564909980773926
4,508485,0.285,1.929658485031128
4,153812,0.2697,2.3860394802093507
4,915911,0.2644,2.3434339328765867
4,991266,0.2643,2.0437490964889524
4,416854,0.263,3.217966439437866
4,920786,0.2541,2.5907399154663087
4,829921,0.2536,2.041625704193115
4,94323,0.2405,2.239856869506836
4,657652,0.2204,3.949333366394043
4,44097,0.2089,2.161663832092285
4,34003,0.2004,5.4723359397888185
4,302516,0.191,4.123529948425293
4,879728,0.1907,8.208790550231933
4,666318,0.1888,4.5109572525024415
4,209391,0.155,5.026978144073486
4,720016,0.1538,7.398992331695557
4,889143,0.1511,13.564001751708984
4,706775,0.1034,14.430400802612304
4,769997,0.1018,14.410819857788086
4,379531,0.1002,14.492933978271484
4,337720,0.1,14.506285690307617
4,656461,0.1,2.307197780609131
4,760405,0.1,14.506113201904297
4,707222,0.1,14.50628570251465
4,826524,0.1,14.504573944091797
4,380624,0.1,12.226001278686523
4,378612,0.1,14.50628570251465
4,1002226,0.1,14.506285662841798
5,135629,0.4181,1.6401315692901612
5,135629,0.4181,1.6401315692901612
5,280665,0.4009,1.677261766242981
5,283735,0.4005,1.6632710382461549
5,873559,0.4005,1.6632710382461549
5,873559,0.4005,1.6632710382461549
5,477478,0.3993,1.6746228921890258
5,1018358,0.3989,1.670240961074829
5,1018358,0.3989,1.670240961074829
5,1018326,0.3989,1.670240961074829
5,280667,0.3971,1.6850145280838014
5,280667,0.3971,1.6850145280838014
5,135423,0.3959,1.686219025039673
5,151807,0.3959,1.686219025039673
5,804041,0.3936,1.7097914083480834
5,804041,0.3936,1.7097914083480834
5,134616,0.3926,1.71502416305542
5,318695,0.3915,1.694687914276123
5,318695,0.3915,1.694687914276123
5,888047,0.386,1.7006436141967773
5,659944,0.386,1.702875496864319
5,660619,0.3857,1.7102077774047852
5,134354,0.3843,1.749918274116516
5,134354,0.3843,1.749918274116516
5,134354,0.3843,1.749918274116516
5,335053,0.3821,1.6968091300964356
5,330846,0.3797,1.7248507730484008
5,168186,0.379,1.7053172868728639
5,335843,0.3752,1.7418765403747558
5,995470,0.3747,1.7749741521835327
5,1008782,0.3747,1.7749741521835327
5,967846,0.3744,1.758033916091919
5,967846,0.3744,1.758033916091919
5,967846,0.3744,1.758033916091919
5,137422,0.3743,1.7859448863983154
5,265432,0.3742,1.7359396348953247
5,281816,0.3742,1.7359396348953247
5,904162,0.3738,1.726848462677002
5,726163,0.3691,1.7653363359451293
5,726163,0.3691,1.7653363359451293
5,826819,0.3683,1.7757009910583497
5,602467,0.368,1.7545674699783325
5,602467,0.368,1.7545674699783325
5,602467,0.368,1.7545674699783325
5,368327,0.367,1.7627187122344972
5,827079,0.367,1.7627187122344972
5,969830,0.3656,1.7620662242889404
5,532963,0.3627,1.7872185348510743
5,448598,0.3623,1.7541642356872558
5,494034,0.3584,1.8112687629699706
5,1020485,0.3558,1.774478373527527
5,143559,0.3543,1.8130706420898437
5,139470,0.3529,1.8598732551574706
5,520484,0.3469,1.7989612998962403
5,663599,0.3469,1.8105525382995606
5,873539,0.3466,1.7721220378875733
5,66765,0.3464,1.8528818492889405
5,692400,0.3361,1.8980096305847167
5,145604,0.3329,1.8741338190078736
5,632482,0.3287,1.7825376192092897
5,984303,0.3265,1.8859950422286986
5,331475,0.3206,1.8839765504837036
5,821093,0.32,1.9200475286483765
5,430533,0.3188,1.9043929187774657
5,658678,0.318,1.9931771160125733
5,954002,0.3142,1.9149774448394776
5,820995,0.3115,1.9303287899017334
5,141530,0.3054,2.029457438278198
5,183490,0.305,1.947566429901123
5,151735,0.2983,2.0772075370788574
5,266423,0.2979,2.3555108680725096
5,822514,0.2949,2.1980196746826173
5,204024,0.2929,1.9775333114624023
5,508501,0.285,1.929658485031128
5,1006055,0.2818,2.1859735752105713
5,635087,0.2794,2.271603626251221
5,296354,0.2771,2.0128621364593506
5,479489,0.275,2.028287231063843
5,219348,0.2697,2.3860394802093507
5,54345,0.2696,2.0014205423355103
5,380609,0.2644,2.043164810562134
5,791759,0.2556,2.832556711959839
5,525794,0.2555,2.0110805156707765
5,815137,0.2415,2.116158795547485
5,281685,0.2288,5.116308123016357
5,267255,0.1907,4.381318550109864
5,1037990,0.1884,4.047220822143554
5,940269,0.1832,4.342189799499511
5,909992,0.1814,9.751275736999512
